Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
0		10000		0		1		0		0
0		10000		19		20		0		1
0		10000		19		20		1		1
1		5000		0		1		0		0
1		5000		112		113		0		1
1		5000		112		113		1		1
2		7000		0		1		0		0
2		7000		6		7		0		1
2		7000		6		7		1		1
3		3000		0		1		0		0
3		3000		27		28		0		1
3		3000		27		28		1		1
4		3000		0		1		0		0
4		3000		13		14		0		1
4		3000		13		14		1		1
5		8000		0		1		0		0
5		8000		22		23		0		1
5		8000		22		23		1		1
6		2000		0		1		0		0
6		2000		14		15		0		1
6		2000		14		15		1		1
7		5000		0		1		0		0
7		5000		70		71		0		1
7		5000		70		71		1		1
8		4000		0		1		0		0
8		4000		2		3		0		1
8		4000		2		3		1		1
9		10000		0		1		0		0
9		10000		8		9		0		1
9		10000		8		9		1		1
0		10000		19		20		1		1
0		10000		24		25		1		2
0		10000		24		25		2		2
1		5000		112		113		1		1
1		5000		130		131		1		2
1		5000		130		131		2		2
2		7000		6		7		1		1
2		7000		10		11		1		2
2		7000		10		11		2		2
3		3000		27		28		1		1
3		3000		30		31		1		2
3		3000		30		31		2		2
4		3000		13		14		1		1
4		3000		18		19		1		2
4		3000		18		19		2		2
5		8000		22		23		1		1
5		8000		27		28		1		2
5		8000		27		28		2		2
6		2000		14		15		1		1
6		2000		16		17		1		2
6		2000		16		17		2		2
7		5000		70		71		1		1
7		5000		72		73		1		2
7		5000		72		73		2		2
8		4000		2		3		1		1
8		4000		7		8		1		2
8		4000		7		8		2		2
9		10000		8		9		1		1
9		10000		32		33		1		2
9		10000		32		33		2		2
0		10000		24		25		2		2
0		10000		31		32		2		3
0		10000		31		32		3		3
1		5000		130		131		2		2
1		5000		135		136		2		3
1		5000		135		136		3		3
2		7000		10		11		2		2
2		7000		13		14		2		3
2		7000		13		14		3		3
3		3000		30		31		2		2
3		3000		67		68		2		3
3		3000		67		68		3		3
4		3000		18		19		2		2
4		3000		20		21		2		3
4		3000		20		21		3		3
5		8000		27		28		2		2
5		8000		33		34		2		3
5		8000		33		34		3		3
6		2000		16		17		2		2
6		2000		23		24		2		3
6		2000		23		24		3		3
7		5000		72		73		2		2
7		5000		83		84		2		3
7		5000		83		84		3		3
8		4000		7		8		2		2
8		4000		9		10		2		3
8		4000		9		10		3		3
9		10000		32		33		2		2
9		10000		41		42		2		3
9		10000		41		42		3		3
0		10000		31		32		3		3
0		10000		60		61		3		4
0		10000		60		61		4		4
1		5000		135		136		3		3
1		5000		166		167		3		4
1		5000		166		167		4		4
2		7000		13		14		3		3
2		7000		45		46		3		4
2		7000		45		46		4		4
3		3000		67		68		3		3
3		3000		87		88		3		4
3		3000		87		88		4		4
4		3000		20		21		3		3
4		3000		25		26		3		4
4		3000		25		26		4		4
5		8000		33		34		3		3
5		8000		57		58		3		4
5		8000		57		58		4		4
6		2000		23		24		3		3
6		2000		35		36		3		4
6		2000		35		36		4		4
7		5000		83		84		3		3
7		5000		86		87		3		4
7		5000		86		87		4		4
8		4000		9		10		3		3
8		4000		32		33		3		4
8		4000		32		33		4		4
9		10000		41		42		3		3
9		10000		57		58		3		4
9		10000		57		58		4		4
0		10000		60		61		4		4
0		10000		81		82		4		5
0		10000		81		82		5		5
1		5000		166		167		4		4
1		5000		170		171		4		5
1		5000		170		171		5		5
2		7000		45		46		4		4
2		7000		66		67		4		5
2		7000		66		67		5		5
3		3000		87		88		4		4
3		3000		98		99		4		5
3		3000		98		99		5		5
4		3000		25		26		4		4
4		3000		65		66		4		5
4		3000		65		66		5		5
5		8000		57		58		4		4
5		8000		61		62		4		5
5		8000		61		62		5		5
6		2000		35		36		4		4
6		2000		72		73		4		5
6		2000		72		73		5		5
7		5000		86		87		4		4
7		5000		101		102		4		5
7		5000		101		102		5		5
8		4000		32		33		4		4
8		4000		37		38		4		5
8		4000		37		38		5		5
9		10000		57		58		4		4
9		10000		94		95		4		5
9		10000		94		95		5		5
0		10000		81		82		5		5
0		10000		91		92		5		6
0		10000		91		92		6		6
1		5000		170		171		5		5
1		5000		177		178		5		6
1		5000		177		178		6		6
2		7000		66		67		5		5
2		7000		105		106		5		6
2		7000		105		106		6		6
3		3000		98		99		5		5
3		3000		112		113		5		6
3		3000		112		113		6		6
4		3000		65		66		5		5
4		3000		96		97		5		6
